S0,Option Price
50,0.000488152
51,0.000736476
52,0.00109312
53,0.00159322
54,0.0022943
55,0.00325018
56,0.00454968
57,0.00627305
58,0.00856794
59,0.011544
60,0.015376
61,0.0202966
62,0.0264969
63,0.0342397
64,0.0438263
65,0.0556069
66,0.0700023
67,0.0873875
68,0.108224
69,0.133013
70,0.162293
71,0.196638
72,0.236652
73,0.283118
74,0.336672
75,0.397968
76,0.467704
77,0.546575
78,0.63532
79,0.735334
80,0.846761
81,0.970238
82,1.10705
83,1.25799
84,1.42303
85,1.60388
86,1.80076
87,2.01379
88,2.24515
89,2.49337
90,2.76126
91,3.04711
92,3.35343
93,3.67862
94,4.02526
95,4.39115
96,4.77947
97,5.18777
98,5.61795
99,6.06957
100,6.54179
101,7.0372
102,7.55331
103,8.09063
104,8.6506
105,9.23131
106,9.83281
107,10.4566
108,11.101
109,11.7658
110,12.4512
111,13.1575
112,13.8837
113,14.6294
114,15.3945
115,16.1794
116,16.9833
117,17.8057
118,18.6466
119,19.5055
120,20.3823
121,21.277
122,22.189
123,23.118
124,24.0639
125,25.0263
126,26.0051
127,27
128,28
129,29
130,30
131,31
132,32
133,33
134,34
135,35
136,36
137,37
138,38
139,39
140,40
141,41
142,42
143,43
144,44
145,45
146,46
147,47
148,48
149,49
150,50
